1	\N	\N	its a dry heat	USA
2	41.901848	-75.10493	LONG ISLAND USA	USA
3	43.01741	-87.569664	MIlwaukee Wi	USA
5	38.638317	-90.42712	Missouri The Show Me State	USA
12	33.77212	-84.26491	ga	USA
13	41.685745	-81.6728	Cleveland,OH	USA
14	39.08023	-77.87192	Bob.com, Virginia	USA
15	\N	\N	Check out my other Auctions and Save BIG	USA
17	45.58056	-122.37478	Portland, Oregon	USA
16	40.851547	-73.840904	NY	USA
19	\N	\N	USA	USA
18	40.578995	-74.27987	NJ,USA	USA
31	41.363613	-93.41494	Iowa	USA
35	29.937674	-81.4206	FLORIDA ~~~ 800-981-9064 ~~~8am - 10pm 7 days	USA
33	\N	\N	THE SHORES of LAKE ERIE ~~OH~~	USA
38	\N	\N	I SHIP WORLD WIDE & ACCEPT PAYPAL!!!!!!!!!!!!	USA
39	41.901848	-75.10493	Long Island, New York	USA
37	29.799631	-81.62733	FLORIDA	USA
40	32.071766	-110.85911	Tucson, AZ	USA
44	\N	\N	MIDWEST	USA
51	\N	\N	near Seattle	USA
49	37.613705	-88.83922	Creal Springs, IL	USA
53	\N	\N	Avon, MA 02322	USA
52	34.175205	-118.38221	Los Angeles, CA	USA
59	35.954678	-80.44132	NC	USA
63	36.569633	-87.10026	Tennessee	USA
61	44.49893	-123.44503	CORVALLIS, OREGON	USA
60	40.170662	-80.25185	Pennsylvania	USA
69	33.672974	-111.88928	Scottsdale, Arizona, U.S.A.	USA
70	\N	\N	NW WI	USA
71	40.56941	-83.13934	MARION OHIO	USA
65	48.310127	-122.65586	Oak Harbor, WA	USA
66	\N	\N	cornerantiques.com	USA
67	34.175205	-118.38221	Los Angeles	USA
77	34.010326	-118.49411	Santa Monica, CA	USA
74	41.498978	-71.299	Newport County, RI	USA
75	\N	\N	dutchess county	USA
87	39.284706	-76.62049	Baltimore/D.C.	USA
80	\N	\N	Save our wildlife in PA!	USA
93	41.901848	-75.10493	LI/NY	USA
92	\N	\N	Northwest Suburbs	USA
94	40.290615	-86.5028	FRANKFORT, IN	USA
88	40.550884	-90.51766	Bushnell,Il.	USA
90	\N	\N	Royer	USA
102	\N	\N	R.C.	USA
106	36.139828	-96.029724	Tulsa, OK	USA
107	38.37741	-121.44443	Folsom, CA	USA
104	30.329016	-95.46347	Spring, Texas	USA
105	37.895695	-122.11785	Lafayette CA	USA
119	\N	\N	State of Maine	USA
118	\N	\N	none	USA
116	33.972813	-118.17385	CA	USA
115	32.96129	-96.83751	Texas	USA
114	39.26537	-74.59381	Ocean County, NJ	USA
122	41.65379	-83.658936	Toledo, OH	USA
120	\N	\N	Australia	Australia
137	\N	\N	Glasgow, UK We Ship Worldwide!	United Kingdom
136	39.63298	-106.51534	Avon, Colorado	USA
143	33.752888	-116.05562	Riverside, Ca	USA
142	\N	\N	SMALLTOWN USA	USA
131	34.004173	-117.81673	Diamond Bar,CA-check out our other items!!	USA
133	32.76727	-96.777626	dallas	USA
132	\N	\N	Moose Jaw ,Sask.	Canada
144	37.561962	-77.42545	RICHMOND, VA	USA
145	29.735832	-82.39008	Gainesville, FL	USA
169	\N	\N	lexington ms	USA
168	\N	\N	Midwest	USA
175	32.751575	-117.19185	San Diego, CA	USA
174	41.65379	-83.658936	TOLEDO, OHIO	USA
173	\N	\N	Villa Park,	USA
167	47.066193	-122.11322	Tacoma, Washington	USA
166	33.84195	-98.5624	Wichita Falls, TX	USA
165	33.703968	-112.35184	AZ	USA
184	39.669636	-104.77309	Colorado	USA
185	\N	\N	PAY WITH PAYPAL	USA
190	28.042948	-81.9849	Lakeland, FL	USA
188	40.867496	-73.41146	Huntington, NY	USA
189	35.060085	-79.00848	Fayetteville, NC *Pope Air Force Base*	USA
179	36.39036	-80.58746	NC	USA
176	\N	\N	S.C. BEACH	USA
177	40.724884	-73.51739	Levittown	USA
182	44.475388	-72.70225	Stowe, VT	USA
183	\N	\N	WP, FL 32792	USA
180	\N	\N	ONTARIO, CANADA	Canada
201	41.38937	-81.52709	Bedford OH	USA
200	\N	\N	Area 51	USA
202	39.16676	-84.53822	CINCINNATI	USA
197	42.63136	-82.554	Michigan	USA
192	29.928692	-82.91032	FLORIDA	USA
195	39.0	80.5	WV	USA
194	44.736027	-123.02553	Jefferson, Or.	USA
220	38.37741	-121.44443	Elk Grove, CA	USA
221	\N	\N	Toronto, ON	Canada
222	29.83399	-95.43424	Houston, TX	USA
219	43.592037	-72.58841	VT	USA
212	29.83399	-95.43424	Houston	USA
234	35.211914	-78.97499	Spring Lake, NC	USA
233	\N	\N	South Georgia	USA
230	41.54985	-87.45806	Highland, Indiana	USA
226	42.66978	-89.07278	Beloit, WI	USA
225	41.7897	-72.86431	Eastern CT	USA
224	40.666553	-74.11768	new jersey	USA
254	41.170586	-87.33142	The Fort, IN	USA
255	47.43225	-121.80339	Washington State	USA
252	41.46359	-74.05975	New Windsor, NY	USA
245	41.598255	-87.89201	Orland Park 708-349-2486	USA
240	39.440956	-84.575745	Hamilton! OH	USA
241	39.056522	-74.81662	Southern NJ	USA
275	\N	\N	DIXIE	USA
